Id,OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,EmailClusterId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,ThreatFamily,FileName,FolderPath,ResourceIdName,ResourceType,Roles,OSFamily,OSVersion,AntispamDirection,SuspicionLevel,LastVerdict,CountryCode,State,City
180388628218,0,612,123247,2024-06-04T06:05:15.000Z,7,6,InitialAccess,,TruePositive,,,Ip,Related,98799,138268,27,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,31,6,3
455266534868,88,326,210035,2024-06-14T03:01:25.000Z,58,43,Exfiltration,,FalsePositive,,,User,Impacted,98799,138268,360606,160396,22406,23032,22795,24887,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1056561957389,809,58352,712507,2024-06-13T04:52:55.000Z,423,298,InitialAccess,T1189,FalsePositive,,,Url,Related,98799,138268,360606,68652,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
1279900258736,92,32992,774301,2024-06-10T16:39:36.000Z,2,2,CommandAndControl,,BenignPositive,,,Url,Related,98799,138268,360606,13,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
214748368522,148,4359,188041,2024-06-15T01:08:07.000Z,9,74,Execution,,TruePositive,,,User,Impacted,98799,138268,360606,160396,449,592,440,479,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1322849927433,11,417400,825450,2024-06-10T13:30:56.000Z,0,0,InitialAccess,T1078;T1078.004,FalsePositive,,,Ip,Related,98799,138268,30410,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,8,6,3
163208760309,522,566,705663,2024-06-14T23:19:45.000Z,2,2,CommandAndControl,,BenignPositive,,,Url,Related,98799,138268,360606,3306,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
1400159339557,125,38679,47423,2024-06-06T13:39:23.000Z,313,3919,Exfiltration,,BenignPositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,34744,425863,453297,153085,1082,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1219770713645,21,414,197969,2024-06-09T10:21:29.000Z,3,4,SuspiciousActivity,,BenignPositive,,,Process,Related,98799,0,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,0,1694,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
1073741827836,72,70,831157,2024-06-08T02:08:01.000Z,4,3,InitialAccess,,TruePositive,,,User,Impacted,98799,138268,360606,160396,4070,5532,4086,4256,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
197568500579,268,251,473068,2024-06-12T18:43:42.000Z,3,4,SuspiciousActivity,,TruePositive,,,Machine,Impacted,2504,138268,360606,160396,441377,673934,425863,453297,4872,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
103079219463,597,159032,1380964,2024-06-07T07:08:22.000Z,9,373,Execution,,TruePositive,,,CloudApplication,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,3,3,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1305670059931,23,107,409854,2024-06-06T00:27:12.000Z,4,3,InitialAccess,,TruePositive,,,Ip,Related,98799,138268,279,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,7,50,46
223338299440,6,2472,1148,2024-05-26T21:07:09.000Z,17,284,Impact,,FalsePositive,,,Ip,Related,98799,138268,8146,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
652835032220,376,93925,289288,2024-06-12T14:00:08.000Z,447,473,InitialAccess,,BenignPositive,,,AzureResource,Impacted,17769,138268,360606,160396,441377,673934,425863,453297,25710,529644,,1631,635,860,2251,3421,881,,289573,117668,251,Virtual Machine,,5,66,,,,242,1445,10630
781684051738,2119,6622,23284,2024-06-10T10:28:29.000Z,13,11,InitialAccess,T1566,BenignPositive,,,MailMessage,Related,98799,138268,360606,160396,441377,160691,425863,453297,153085,1842,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
635655163305,261,110412,41503,2024-06-03T17:05:40.000Z,1794,344,Collection,T1098;T1114,BenignPositive,,,User,Impacted,98799,138268,360606,160396,172996,268738,173595,184537,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
429496732853,51,84683,134887,2024-06-05T04:17:50.000Z,39,26,Execution,T1559;T1106;T1059.005,BenignPositive,,,File,Related,98799,4,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,3,6,3586,,,5,66,,,,242,1445,10630
1546188229482,34,329953,709535,2024-06-05T20:45:37.000Z,2,2,CommandAndControl,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,30614,50597,31131,33321,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
1340029797776,592,53360,215453,2024-06-13T13:21:39.000Z,933,9966,Exfiltration,,BenignPositive,,,File,Impacted,98799,10713,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,12633,3509,3586,,,5,66,,,,242,1445,10630
1365799604919,428,54837,239519,2024-06-09T04:11:51.000Z,1,1,InitialAccess,T1566.002,BenignPositive,,,Url,Related,98799,138268,360606,1557,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,Malicious,242,1445,10630
755914246870,789,46895,147425,2024-06-04T20:48:03.000Z,6,5,InitialAccess,T1566,BenignPositive,,,MailMessage,Related,98799,138268,360606,160396,441377,1035,425863,453297,153085,285810,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,Inbound,,NoThreatsFound,242,1445,10630
1683627183859,68,125436,462477,2024-06-11T18:52:33.000Z,6,5,InitialAccess,T1566,BenignPositive,,,Mailbox,Impacted,98799,138268,360606,160396,63316,57707,59030,65131,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,NoThreatsFound,242,1445,10630
1305670062855,4,2640,327,2024-05-29T23:53:19.000Z,8,7,InitialAccess,T1133,FalsePositive,,,Machine,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,182,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
824633723860,75,478,939479,2024-06-03T14:37:16.000Z,4,3,InitialAccess,,TruePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
111669153555,12,2442,1198,2024-05-21T05:40:23.000Z,16,502,Impact,,BenignPositive,,,Ip,Related,98799,138268,1252,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
60129545458,62,485993,1408328,2024-06-13T00:27:07.000Z,5,39,SuspiciousActivity,,TruePositive,,,User,Impacted,98799,138268,360606,160396,56,75,51,60,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
489626273557,0,211,160158,2024-06-11T08:26:58.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
335007451478,206,251904,1009993,2024-06-13T16:51:53.000Z,0,0,InitialAccess,T1078;T1078.004,FalsePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1357209666152,17,63837,10597,2024-06-05T20:02:39.000Z,20,3507,Exfiltration,,FalsePositive,,,Mailbox,Related,98799,138268,360606,160396,441377,2,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1486058685492,16,203600,643809,2024-06-06T21:41:15.000Z,24,30456,Exfiltration,,BenignPositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,144634,425863,453297,153085,316961,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1486058686131,0,260,520211,2024-06-06T17:40:39.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,284,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,39,62,58
987842479053,18,391638,1565403,2024-06-12T22:38:29.000Z,9,32,Execution,,FalsePositive,,,CloudApplication,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,4,4,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
541165884137,4,2624,487,2024-05-24T22:23:41.000Z,8,7,InitialAccess,T1133,FalsePositive,,,Machine,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,263,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1073741825652,1030,30133,239577,2024-06-03T16:41:38.000Z,1,1,InitialAccess,T1566.002,TruePositive,,,MailCluster,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,4199608410.0,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,Malicious,242,1445,10630
283467843209,7,688,3542,2024-06-01T18:11:11.000Z,22,10,Impact,,FalsePositive,,,Ip,Related,98799,138268,1882,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
223338303172,201,86074,573023,2024-06-09T05:56:32.000Z,5,97,SuspiciousActivity,,BenignPositive,,,Ip,Related,98799,138268,80,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,Contextual,5,66,,,,242,1445,10630
94489283119,28,520293,529009,2024-06-09T00:20:18.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
60129545540,59,518657,1381976,2024-06-07T13:17:03.000Z,5,267,SuspiciousActivity,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,95485,159687,90066,267319,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
712964576160,162,33356,95969,2024-06-04T17:33:14.000Z,6,5,InitialAccess,T1566,BenignPositive,,,MailMessage,Related,98799,138268,360606,160396,441377,57002,425863,453297,153085,63687,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
60129547071,4,2548,427,2024-05-25T04:58:38.000Z,8,7,InitialAccess,T1133,FalsePositive,,,Machine,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,312,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
901943136091,734,178669,580340,2024-06-11T02:59:41.000Z,5,2409,SuspiciousActivity,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,85402,122706,81578,84213,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
231928235439,88,26726,1114326,2024-06-10T01:50:27.000Z,58,43,Exfiltration,,FalsePositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,26709,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
197568499356,293,77950,155901,2024-06-09T19:20:17.000Z,1,1,InitialAccess,T1566.002,BenignPositive,,,MailMessage,Related,98799,138268,360606,160396,441377,21427,425863,453297,153085,150899,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
